status	key	command
Conversion	Backspace	Cancel
Composition	Backspace	Backspace
Precomposition	Backspace	Revert
Composition	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Composition	Ctrl [	Cancel
Conversion	Ctrl [	Cancel
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Prediction	Ctrl Down	ConvertNext
Suggestion	Ctrl Down	PredictAndConvert
Suggestion	Ctrl Enter	CommitFirstSuggestion
Precomposition	Ctrl F12	LaunchConfigDialog
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Composition	Ctrl g	Delete
Conversion	Ctrl h	Cancel
Composition	Ctrl h	Backspace
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl Shift Right	SegmentWidthExpand
Conversion	Ctrl Space	ConvertNext
Composition	Ctrl Space	Convert
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Prediction	Ctrl Up	ConvertPrev
Composition	Delete	Delete
Composition	Down	Commit
Conversion	Down	CommitOnlyFirstSegment
Prediction	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Precomposition	F10	ToggleAlphanumericMode
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
DirectInput	Hankaku/Zenkaku	IMEOn
Composition	Hankaku/Zenkaku	CancelAndIMEOff
Conversion	Hankaku/Zenkaku	CancelAndIMEOff
Precomposition	Hankaku/Zenkaku	CancelAndIMEOff
DirectInput	Henkan	IMEOn
Precomposition	Henkan	CancelAndIMEOff
Conversion	Henkan	CancelAndIMEOff
Composition	Henkan	CancelAndIMEOff
Composition	Hiragana	ToggleAlphanumericMode
Conversion	Hiragana	ToggleAlphanumericMode
Conversion	Insert	Cancel
Composition	Kana	ToggleAlphanumericMode
Precomposition	Kana	ToggleAlphanumericMode
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentWidthShrink
DirectInput	Muhenkan	IMEOn
Precomposition	Muhenkan	CancelAndIMEOff
Composition	Muhenkan	CancelAndIMEOff
Conversion	Muhenkan	CancelAndIMEOff
Composition	Right	MoveCursorRight
Conversion	Right	SegmentWidthExpand
Suggestion	Shift Enter	CommitFirstSuggestion
DirectInput	Shift Henkan	Reconvert
Precomposition	Shift Henkan	Reconvert
Conversion	Shift Henkan	ConvertPrevPage
Composition	Shift Henkan	Convert
Conversion	Shift Left	SegmentFocusLeft
Composition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Conversion	Shift Right	SegmentFocusRight
Conversion	Shift Space	ConvertNext
Precomposition	Shift Space	InsertAlternateSpace
Composition	Shift Space	Convert
Conversion	Shift Tab	ConvertPrev
Precomposition	Space	InsertSpace
Conversion	Space	ConvertNext
Composition	Space	Convert
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Prediction	Up	ConvertPrev
Composition	VirtualEnter	Commit
Conversion	VirtualEnter	CommitOnlyFirstSegment
Composition	VirtualLeft	MoveCursorLeft
Conversion	VirtualLeft	SegmentWidthShrink
Composition	VirtualRight	MoveCursorRight
Conversion	VirtualRight	SegmentWidthExpand
Composition	Kanji	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	Kanji	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
